,Basvuru Yili,Cinsiyet,Dogum Yeri,Ikametgah Sehri,Universite Adi,Universite Turu,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Sehir,Lise Turu,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,yil,Yas
0,2023,2,4,4.0,108,0,0.0,0,1,2,0.0,4,1,2,0,1.0,1,2,2.0,1,3,0,0,1,2,1,0.0,0,1,1,0.0,2002,22.0
1,2023,2,44,45.0,66,0,0.0,0,1,0,0.0,45,1,5,0,1.0,0,0,1.0,1,2,0,0,1,3,0,0.0,0,1,1,0.0,2004,20.0
2,2023,1,77,78.0,81,1,0.0,1,1,0,0.0,78,5,2,1,0.0,0,0,4.0,0,0,0,0,0,3,0,0.0,0,1,1,0.0,2002,22.0
3,2023,1,51,52.0,103,0,0.0,0,1,0,0.0,52,1,5,0,1.0,0,0,0.0,1,2,0,0,0,0,1,0.0,0,1,0,0.0,2003,21.0
4,2023,1,61,78.0,41,0,0.0,0,3,3,0.0,62,5,5,1,4.0,1,1,4.0,1,1,0,0,0,0,1,0.0,1,1,1,0.0,2002,22.0
5,2023,1,34,79.0,195,0,0.0,0,2,2,0.0,35,1,5,0,4.0,1,1,4.0,1,1,1,0,1,3,0,0.0,0,1,1,0.0,2003,21.0
6,2023,1,33,49.0,97,0,0.0,0,4,2,0.0,34,1,2,0,0.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2001,23.0
7,2023,1,57,78.0,151,0,0.0,0,1,0,0.0,58,1,5,0,4.0,1,1,4.0,1,1,0,0,0,0,0,0.0,0,1,1,0.0,2004,20.0
8,2023,2,1,1.0,97,0,0.0,0,4,3,0.0,1,1,5,0,1.0,0,0,2.0,0,0,0,0,0,0,0,0.0,0,1,1,0.0,2000,24.0
9,2023,1,44,45.0,111,0,0.0,0,1,0,0.0,45,5,5,1,1.0,0,0,1.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,2003,21.0
